PlayerName,Black Ink,Gray Ink,HoF Standards
Ray Boone,4,25,45
Ken Boyer,4,39,138
Dave Brain,4,56,28
George Browne,4,51,26
Don Buford,4,28,59
Johnny Callison,4,23,59
Count Campau,4,22,32
Roy Campanella*,4,23,65
Gary Carter*,4,61,75
Rico Carty,4,21,35
Luis Castillo,4,48,31
Cesar Cedeno,4,28,70
Tony Conigliaro,4,20,37
Jack Crooks,4,20,49
Frankie Crosetti,4,30,32
Michael Cuddyer,4,36,28
Bill Dahlen,4,23,96
Darren Daulton,4,30,82
George Davis*,4,51,108
Khris Davis,4,23,27
Walt Dropo,4,20,43
Adam Dunn,4,18,87
Edwin Encarnacion,4,28,83
Del Ennis,4,22,143
Darin Erstad,4,31,35
Bob Ferguson,4,24,36
Chone Figgins,4,19,36
Steve Finley,4,23,54
Elbie Fletcher,4,28,38
Jim Fogarty,4,30,60
Lew Fonseca,4,21,37
Debs Garms,4,22,180
Jim Gentile,4,30,36
Troy Glaus,4,35,43
Billy Goodman,4,48,54
Bubbles Hargrave,4,20,55
Mike Hargrove,4,41,31
Ken Harrelson,4,39,29
Chase Headley,4,36,40
Guy Hecker,4,18,31
Larry Hisle,4,58,40
Joe Hornung,4,27,57
Don Hurst,4,28,54
Monte Irvin*,4,19,33
Charlie Jamieson,4,30,39
Sam Jethroe,4,21,330
Alex Johnson,4,77,30
Deron Johnson,4,67,29
Roy Johnson,4,23,37
Spud Johnson,4,18,29
Chipper Jones*,4,70,107
Charlie Keller,4,30,85
Ed Konetchy,4,27,149
Carney Lansford,4,25,30
Frank LaPorte,4,19,27
Henry Larkin,4,24,108
DJ LeMahieu,4,35,28
Johnny Logan,4,23,27
Davey Lopes,4,26,36
Greg Luzinski,4,25,99
Manny Machado,4,26,28
J.D. Martinez,4,21,43
Lee May,4,21,84
Barney McCosky,4,25,51
Ed McKean,4,27,104
Marty McManus,4,30,60
Bill Melton,4,23,24
Irish Meusel,4,26,113
Bill Mueller,4,23,24
Red Murray,4,30,57
Joe Nealon,4,27,131
Graig Nettles,4,31,56
Bill North,4,23,26
Billy O'Brien,4,48,67
Paul O'Neill,4,61,45
Fred Odwell,4,25,75
Ben Oglivie,4,23,38
Carlos Pena,4,22,35
Neifi Perez,4,19,73
Buster Posey,4,38,44
Harold Reynolds,4,44,28
Mickey Rivers,4,33,48
Braggo Roth,4,26,43
Jean Segura,4,23,32
Gary Sheffield,4,61,123
Al Smith,4,21,61
Reggie Smith,4,35,124
Al Spalding*,4,21,65
Jake Stahl,4,32,56
Rusty Staub,4,38,89
Dick Stuart,4,18,59
Gene Tenace,4,21,38
Fred Tenney,4,25,55
Fred Treacey,4,25,55
Mark Trumbo,4,33,24
Trea Turner,4,29,41
Mo Vaughn,4,30,78
Oscar Walker,4,20,196
Tillie Walker,4,29,73
Tim Wallach,4,24,45
Bernie Williams,4,48,61
Preston Wilson,4,26,40
Dave Winfield*,4,56,152
Rynie Wolters,4,43,134
George Wood,4,51,76
Jim Wynn,4,30,94
Jose Abreu,3,24,50
Ethan Allen,3,18,83
Roberto Alomar*,3,17,95
Sandy Alomar,3,24,39
Rich Aurilia,3,24,124
Harold Baines*,3,44,40
Johnny Barrett,3,23,23
Glenn Beckert,3,27,28
Bobby Bonilla,3,30,96
Kris Bryant,3,20,31
John Clapp,3,28,39
Jose Cruz,1,24,71
Ivan de Jesus,3,59,39
Art Devlin,3,17,34
Mike Donlin,3,41,103
Alcides Escobar,3,70,28
Tony Fernandez,3,20,51
Dave Fultz,3,56,41
Billy Gardner,3,48,32
Brett Gardner,3,36,117
Jim Gilliam,3,30,68
Mark Grace,3,33,86
Eddie Grant,3,29,35
Shawn Green,3,33,65
Alfredo Griffin,3,31,70
Mark Grudzielanek,3,33,86
Cristian Guzman,3,19,104
Travis Hafner,3,29,47
Toby Harrah,3,33,46
John Hatfield,3,28,31
Solly Hemus,3,22,85
Charlie Hickman,3,30,82
Don Hoak,3,28,26
Dick Hoblitzell,3,18,52
Willie Kamm,3,23,23
Chuck Knoblauch,3,33,67
Lyn Lary,3,25,32
Freddie Lindstrom*,3,18,57
Denny Lyons,3,36,106
Marty Marion,3,30,29
Hideki Matsui,3,21,31
Gary Matthews,3,61,41
Dick McAuliffe,3,18,30
Tommy McCarthy*,3,18,86
Andrew McCutchen,3,28,77
Mike McGeary,3,41,32
Matty McIntyre,3,20,35
Doc Miller,3,30,26
Mike Mitchell,3,41,55
Willie Montanez,3,23,38
Wally Moses,3,33,62
Don Mueller,3,28,24
Bobby Murcer,3,30,95
Hugh Nicol,3,55,143
Wes Parker,3,20,24
Freddie Patek,3,18,28
Albie Pearson,3,70,28
Hunter Pence,3,20,53
Jim Piersall,3,30,36
Boog Powell,3,25,93
Rip Radcliff,3,22,41
Paul Radford,3,61,45
Jack Remsen,3,20,25
Ben Revere,3,23,38
Jim Rivera,3,30,176
Harry Schafer,3,34,25
Kevin Seitzer,3,23,30
Joe Sewell*,3,27,75
Norm Siebern,3,29,47
Lonnie Smith,3,21,38
Gus Suhr,3,18,54
Ezra Sutton,3,18,94
Danny Tartabull,3,26,52
Frank Taveras,3,19,94
Johnny Temple,3,23,48
Earl Torgeson,3,24,46
Cecil Travis,3,30,38
Chase Utley,3,36,42
Curt Welch,3,25,74
Jimmy Williams,3,19,95
Eric Young,3,25,39
Bobby Adams,2,30,88
Ed Andrews,2,27,28
Sam Barkley,2,21,85
Tom Barlow,2,18,143
Daric Barton,2,31,35
Buddy Bell,2,41,33
Gus Bell,2,18,66
Max Bishop,2,36,29
Larry Bowa,2,58,38
Michael Brantley,2,36,28
Alex Bregman,2,77,28
Roger Bresnahan*,2,26,45
Ed Brinkman,2,27,28
Jimmy Brown,2,19,43
Rick Burleson,2,21,39
Tom Burns,2,18,57
Enos Cabell,2,41,32
Everth Cabrera,2,25,50
Orlando Cabrera,2,18,33
Chuck Carr,2,33,44
Eric Chavez,2,25,161
Horace Clarke,2,75,27
Harlond Clift,2,29,70
Coco Crisp,2,23,79
Roy Cullenbine,2,23,59
Jack Cust,2,20,49
Babe Dahlgren,2,79,26
Tom Daly,2,18,27
Rajai Davis,2,57,183
Willie Davis,2,23,64
Herman Dehlman,2,41,108
Gene DeMontreville,2,21,25
Cozy Dolan,2,22,32
Jiggs Donahue,2,24,174
Patsy Donovan,2,32,32
Brian Downing,2,23,25
Dan Driessen,2,23,263
Adam Eaton,2,18,87
Charlie Eden,2,30,89
Bob Elliott,2,24,111
Woody English,2,25,35
Jeff Francoeur,2,25,38
Tito Francona,2,33,27
Johnny Frederick,2,23,31
Lonny Frey,2,22,33
Travis Fryman,2,29,29
Freddy Galvis,2,18,28
Pedro Garcia,2,29,194
Brian Giles,2,23,57
Bill Gleason,2,23,35
Jack Gleason,2,20,31
Kid Gleason,2,17,27
Ival Goodman,2,26,39
Alex Gordon,2,77,28
Joe Gordon*,2,27,111
Granny Hamner,2,31,32
Lee Handley,2,21,83
Charlie Hayes,2,30,29
Jeff Heath,2,25,81
Gil Hodges,2,21,128
Danny Hoffman,2,26,34
Frank Isbell,2,19,121
Austin Jackson,2,26,96
Gregg Jefferies,2,27,25
Dick Johnston,2,18,32
Joe Kelley*,2,27,121
John Kerins,2,28,31
Don Kolloway,2,28,54
Eddie Lake,2,29,30
Bill Lange,2,23,28
Terry Larkin,2,25,326
Carlos Lee,2,22,41
Chet Lemon,2,20,31
Buddy Lewis,2,41,45
Johnny Lindell,2,23,27
Terrence Long,2,73,326
Jonathan Lucroy,2,26,41
Denny Mack,2,36,106
Fritz Maisel,2,18,28
Billy Maloney,2,48,134
Frank Malzone,2,19,62
Rabbit Maranville*,2,30,50
Nick Markakis,2,19,76
Lee Maye,2,21,84
Bill Mazeroski*,2,23,55
Bill McClellan,2,23,26
Tom McCreery,2,18,23
Nate McLouth,2,66,26
Roy McMillan,2,23,37
Eric McNair,2,25,26
Sam Mele,2,21,330
Roger Metzger,2,26,57
Eddie Miller,2,29,29
Jocko Milligan,2,19,27
Tim Murnane,2,24,26
Danny Murtaugh,2,26,103
Bert Niehoff,2,27,63
Jose Offerman,2,24,71
Tom Oliver,2,18,23
Lyle Overbay,2,23,30
Bill Phillips,2,23,42
Lou Piniella,2,43,26
Ed Pinkham,2,27,37
Scott Podsednik,2,40,39
Darrell Porter,2,31,82
Jerry Priddy,2,19,23
Joe Quinn,2,27,26
John Radcliff,2,28,46
Aramis Ramirez,2,39,53
Jose Ramirez,2,24,43
Willie Randolph,2,23,39
Jody Reed,2,18,27
Floyd Robinson,2,23,24
Mickey Rocco,2,33,48
Billy Rogell,2,48,67
Stan Rojek,2,18,390
Jack Rothrock,2,20,25
Carlos Santana,2,22,35
Steve Sax,2,23,66
Everett Scott,2,25,50
Harry Simpson,2,34,25
Ozzie Smith*,2,35,51
Red Smith,2,30,56
Joe Sommer,2,27,42
Jigger Statz,2,24,174
Dan Stearns,2,23,37
Jake Stenzel,2,32,48
Riggs Stephenson,2,32,41
Milt Stock,2,19,63
B.J. Surhoff,2,27,26
Harry Swacina,2,34,210
Willy Taveras,2,23,64
Mickey Tettleton,2,33,41
Bobby Tolan,2,30,41
Pie Traynor*,2,43,134
Dan Uggla,2,23,32
John Valentin,2,28,78
Quilvio Veras,2,27,100
Shane Victorino,2,19,26
Jonathan Villar,2,26,41
Bill Virdon,2,23,25
Irv Waldron,2,26,113
Earl Webb,2,24,28
Perry Werden,2,21,34
Jayson Werth,2,23,36
Al Wickland,2,21,65
Whitey Witt,2,20,49
Glenn Wright,2,27,36
Eric Young Jr.,2,25,39
