Name,GrayInk,BlackInk,HoF_Monitor,HoF_Standards
Reb Russell,57,5,28,28
Ken Forsch,57,3,0,14
Juan Pizarro,57,0,17,19
Jim Shaw,57,10,15,10
Jacob deGrom+,57,4,33,24
Al Downing,57,7,27,18
Al Brazle,57,6,0,16
Tom Seaton,56,11,26,17
Syl Johnson,56,2,0,0
Mike Hampton,56,7,27,13
John Smiley,56,7,22,16
Jim Turner,56,10,19,13
Henry Porter,56,0,32,0
Gary Nolan,56,7,43,26
Ed Killian,56,1,35,23
Carl Weilman,56,0,11,16
Ubaldo Jimenez+,55,4,17,0
Tricky Nichols,55,0,0,14
Nels Potter,55,0,18,0
Mike Torrez,55,0,37,18
Lefty Leifield,55,0,44,25
Larry Gura,55,0,25,17
Hank Wyse,55,0,18,0
Floyd Bannister,55,4,10,13
Don Mossi,55,2,11,16
Danny Jackson,55,6,34,0
Tommy Byrne,54,5,23,11
Sid Hudson,54,0,0,0
Ryan Dempster,54,1,26,12
Rick Rhoden,54,0,24,21
Randy Jones,54,14,31,10
Pol Perritt,54,2,25,17
Monte Pearson,54,6,36,14
Larry Dierker,54,0,21,20
Joaquin Andujar,54,8,43,14
Hardie Henderson,54,0,39,0
C.J. Wilson+,54,2,26,14
Bill Walker,54,9,17,0
Aaron Harang+,54,11,13,12
Steve Barber,53,1,21,14
Ken Hill,53,5,19,0
Jim Britt,53,3,0,10
Herb Score,53,13,25,16
Harry Gumbert,53,4,17,16
Fritz Peterson,53,10,18,17
Dave Righetti,53,5,56,0
Cy Blanton,53,9,15,0
Art Houtteman,53,1,13,0
Turk Farrell,52,0,17,11
Ron Kline,52,3,15,0
Rollie Fingers*,52,12,128,18
Pete Harnisch,52,5,0,10
John Burkett,52,6,22,19
Hal Carlson,52,1,0,0
Frank Kitson,52,3,23,16
Ed Stein,52,0,27,0
Doc McJames,52,5,19,0
Charlie Leibrandt,52,0,18,16
Tom Hughes,51,7,23,26
Tom Hughes,51,7,23,26
Tiny Bonham,51,10,31,22
Mudcat Grant,51,8,30,18
Mike Boddicker,51,11,27,13
Mariano Rivera*,51,9,214,30
Juan Guzman,51,10,25,0
Joe Nuxhall,51,0,16,13
Jesse Petty,51,2,0,0
Gene Conley,51,0,17,0
Ed Seward,51,5,37,16
Earl Wilson,51,4,16,15
Dave Davenport,51,16,18,14
Dallas Keuchel+,51,11,41,12
Carl Lundgren,51,5,27,26
Bobby Mitchell,51,2,0,0
Bob Forsch,51,2,33,20
Al Mamaux,51,0,21,14
Tex Carleton,50,1,13,10
Ray Culp,50,0,16,17
Lefty Stewart,50,0,14,0
LaMarr Hoyt,50,14,27,16
Johnny Murphy,50,12,29,19
Greg Swindell,50,2,11,13
Geoff Zahn,50,0,0,0
Gene Packard,50,0,17,15
Fritz Ostermueller,50,0,0,0
Charlie Sweeney,50,4,36,22
Allan Sothoron,50,3,13,0
Roy Face,49,14,47,11
Rick Wise,49,0,35,22
Ray Collins,49,0,23,25
Paul Foytack,49,1,0,0
Ismael Valdez,49,0,0,0
Harry McCormick,49,0,0,17
George Caster,49,4,0,0
Ed Whitson,49,0,0,11
Stu Miller,48,11,30,11
Ruben Gomez,48,0,0,0
Lee Smith*,48,12,127,13
Kyle Lohse+,48,4,14,14
Kevin Tapani,48,0,15,15
Kerry Wood,48,8,24,14
George Derby,48,5,17,11
Gary Bell,48,0,18,11
Frank Foreman,48,0,12,0
Erskine Mayer,48,0,23,20
Elmer Riddle,48,11,22,10
Bob Shaw,48,5,24,0
Billy O'Dell,48,0,16,12
