Player	HoF_Monitor	HoF_Standards	BlackInk	GrayInk
Joe Cronin*	143	55	7	102
Joe DiMaggio*	269	59	34	226
Joe Dugan	22	0	1	0
Joe Girardi	24	23	0	0
Joe Gordon*	88	31	2	111
Joe Harris	32	25	0	30
Joe Judge	33	32	1	48
Joe Kelley*	99	52	2	121
Joe Kuhel	29	25	1	79
Joe Mauer	92	41	15	43
Joe Medwick*	200	47	41	226
Joe Morgan*	172	56	15	131
Joe Pepitone	20	0	0	26
Joe Rudi	29	0	6	49
Joe Sewell*	68	45	3	75
Joe Stripp	17	0	0	0
Joe Tinker*	25	20	0	39
Joe Torre*	96	40	12	71
Joe Vosmik	61	27	9	54
Joey Cora	18	19	0	0
Joey Votto	88	38	17	143
John Jaha	19	0	0	0
John Kruk	33	24	0	0
John Mayberry	20	0	5	71
John McGraw*	62	41	10	50
John Olerud	68	39	7	51
John Reilly	42	0	20	134
John Roseboro	77	25	0	0
John Stone	30	26	0	29
John Valentin	20	25	2	0
John Ward*	43	28	8	91
Johnny Bassler	16	18	0	0
Johnny Bench*	214	45	20	93
Johnny Callison	36	0	4	59
Johnny Damon	90	45	6	77
Johnny Edwards	28	23	0	0
Johnny Evers*	34	24	0	39
Johnny Frederick	36	20	2	31
Johnny Hodapp	34	18	6	0
Johnny Hopp	26	19	0	44
Johnny Kling	25	23	0	0
Johnny Logan	28	19	4	0
Johnny Mize*	175	47	50	202
Johnny Moore	22	18	0	38
Johnny Mostil	34	20	9	35
Johnny Pesky	71	33	11	79
Johnny Temple	30	23	3	48
Jo-Jo Moore	53	0	1	41
Jorge Posada	98	40	0	0
Jose Abreu	33	19	3	50
Jose Altuve	124	35	29	68
Jose Bautista	78	27	15	70
Jose Canseco	103	39	15	93
Jose Cruz	28	28	3	71
Jose Offerman	22	22	2	0
Jose Ramirez	31	0	2	43
Jose Reyes	76	36	19	72
Jose Vidro	41	24	0	25
Josh Donaldson	48	19	7	58
Josh Hamilton	65	24	11	46
Juan Gonzalez	123	40	17	105
