Season,Name,Team,PA,WAR,playerid
2000,Andruw Jones,Braves,729,7.7,96
2010,Carl Crawford,Rays,663,7.7,1201
1917,Tris Speaker,Indians,612,7.7,1012309
1973,Willie Stargell,Pirates,609,7.7,1012426
2017,Jose Altuve,Astros,662,7.6,5417
1936,Charlie Gehringer,Tigers,731,7.6,1004596
1930,Al Simmons,Athletics,611,7.6,1011978
2000,Barry Bonds,Giants,607,7.6,1109
2009,Joe Mauer,Twins,606,7.6,1857
2018,Alex Bregman,Astros,705,7.6,17678
2018,Francisco Lindor,Indians,745,7.6,12916
2018,Christian Yelich,Brewers,651,7.6,11477
1951,Ralph Kiner,Pirates,670,7.6,1006923
1935,Hank Greenberg,Tigers,710,7.6,1004996
1886,King Kelly,White Stockings,534,7.6,1006806
1912,Heinie Zimmerman,Cubs,619,7.6,1014444
2012,Buster Posey,Giants,610,7.6,9166
1969,Hank Aaron,Braves,639,7.6,1000001
1965,Hank Aaron,Braves,639,7.6,1000001
1988,Jose Canseco,Athletics,705,7.6,1001918
1996,Bernard Gilkey,Mets,656,7.6,1004706
1890,Roger Connor,Giants,573,7.6,1002537
2001,Larry Walker,Rockies,601,7.6,455
1977,Carlton Fisk,Red Sox,632,7.6,1004101
1921,Dave Bancroft,Giants,698,7.6,1000503
2000,Nomar Garciaparra,Red Sox,599,7.6,190
1967,Brooks Robinson,Orioles,681,7.6,1011055
1903,Nap Lajoie,Naps,525,7.6,1007259
1957,Hank Aaron,Braves,675,7.6,1000001
2016,Josh Donaldson,Blue Jays,700,7.6,5038
1996,Ken Caminiti,Padres,639,7.5,1001863
1979,Darrell Porter,Royals,679,7.5,1010450
1888,Roger Connor,Giants,558,7.5,1002537
1903,Jimmy Sheckard,Superbas,616,7.5,1011843
1936,Arky Vaughan,Pirates,701,7.5,1013377
1897,Hughie Jennings,Orioles,544,7.5,1006396
1910,Sherry Magee,Phillies,647,7.5,1007965
1913,Joe Jackson,Naps,623,7.5,1006301
1943,Lou Boudreau,Indians,649,7.5,1001234
1924,Frankie Frisch,Giants,675,7.5,1004364
1979,Mike Schmidt,Phillies,675,7.5,1011586
1955,Eddie Mathews,Braves,616,7.5,1008236
1901,Honus Wagner,Pirates,619,7.5,1013485
1923,Frankie Frisch,Giants,702,7.5,1004364
1933,Chuck Klein,Phillies,667,7.5,1006991
1899,Jimmy Williams,Pirates,689,7.5,1014005
1941,Pete Reiser,Dodgers,601,7.5,1010814
1953,Stan Musial,Cardinals,698,7.5,1009405
1906,Harry Steinfeldt,Cubs,625,7.5,1012466
1902,Honus Wagner,Pirates,599,7.5,1013485
1986,Jesse Barfield,Blue Jays,671,7.5,1000537
1894,Hugh Duffy,Beaneaters,606,7.5,1003533
1940,Joe DiMaggio,Yankees,572,7.5,1003311
1908,Joe Tinker,Cubs,609,7.5,1013075
1956,Duke Snider,Dodgers,652,7.5,1012230
1925,Kiki Cuyler,Pirates,700,7.5,1002914
2010,Evan Longoria,Rays,661,7.5,9368
1895,Ed Delahanty,Phillies,578,7.5,1003155
2008,Hanley Ramirez,Marlins,693,7.5,8001
1910,Tris Speaker,Red Sox,608,7.5,1012309
1999,Manny Ramirez,Indians,640,7.5,210
1949,Vern Stephens,Red Sox,711,7.5,1012501
1929,Lefty O'Doul,Phillies,731,7.4,1009734
1966,Dick Allen,Phillies,599,7.4,1000137
1979,Keith Hernandez,Cardinals,698,7.4,1005706
1959,Willie Mays,Giants,648,7.4,1008315
1974,Jimmy Wynn,Dodgers,656,7.4,1014313
1972,Bobby Murcer,Yankees,654,7.4,1009338
1996,Jim Thome,Indians,636,7.4,409
1922,Ken Williams,Browns,678,7.4,1014012
1993,Mike Piazza,Dodgers,602,7.4,893
1987,Tony Gwynn,Padres,680,7.4,1005166
1937,Charlie Gehringer,Tigers,660,7.4,1004596
1971,Graig Nettles,Indians,690,7.4,1009517
1896,Bill Dahlen,Colts,573,7.4,1002924
1976,Pete Rose,Reds,759,7.4,1011217
1905,Mike Donlin,Giants,676,7.4,1003380
1923,Ken Williams,Browns,646,7.4,1014012
2014,Andrew McCutchen,Pirates,648,7.4,9847
1992,Ryne Sandberg,Cubs,687,7.4,1011411
1927,Paul Waner,Pirates,709,7.4,1013597
2008,Grady Sizemore,Indians,745,7.4,2197
2012,Andrew McCutchen,Pirates,673,7.4,9847
1933,Joe Cronin,Senators,696,7.4,1002796
2000,Jeff Kent,Giants,695,7.4,1119
1973,Bobby Bonds,Giants,738,7.4,1001157
1999,Derek Jeter,Yankees,739,7.4,826
2003,Bret Boone,Mariners,705,7.4,1067
1897,Willie Keeler,Orioles,618,7.4,1006747
2000,Carlos Delgado,Blue Jays,711,7.4,1297
1982,Andre Dawson,Expos,659,7.4,1003091
1954,Ted Kluszewski,Redlegs,659,7.4,1007020
1996,Mark McGwire,Athletics,548,7.3,1008559
1955,Al Kaline,Tigers,681,7.3,1006678
1886,Roger Connor,Giants,526,7.3,1002537
1939,Jimmie Foxx,Red Sox,563,7.3,1004285
1982,Doug DeCinces,Angels,655,7.3,1003123
1935,Billy Herman,Cubs,735,7.3,1005692
1941,Charlie Keller,Yankees,610,7.3,1006768
1999,Robin Ventura,Mets,671,7.3,854
2003,Gary Sheffield,Braves,678,7.3,114
1948,Joe DiMaggio,Yankees,669,7.3,1003311
1935,Charlie Gehringer,Tigers,709,7.3,1004596
1928,Goose Goslin,Senators,527,7.3,1004893
1901,Jesse Burkett,Cardinals,673,7.3,1001682
1947,Lou Boudreau,Indians,623,7.3,1001234
2017,Giancarlo Stanton,Marlins,692,7.3,4949
1999,Roberto Alomar,Indians,694,7.3,860
2002,Jim Thome,Indians,613,7.3,409
1999,Chipper Jones,Braves,701,7.3,97
1957,Eddie Mathews,Braves,666,7.3,1008236
1975,John Mayberry,Royals,683,7.3,1008289
1929,Lou Gehrig,Yankees,692,7.3,1004598
1973,Pete Rose,Reds,752,7.3,1011217
1934,Mel Ott,Giants,671,7.3,1009904
2000,Richard Hidalgo,Astros,644,7.3,561
2012,Robinson Cano,Yankees,697,7.3,3269
1886,Hardy Richardson,Wolverines,584,7.3,1010909
1954,Stan Musial,Cardinals,705,7.3,1009405
2015,Joey Votto,Reds,695,7.3,4314
1933,Charlie Gehringer,Tigers,705,7.3,1004596
2008,Carlos Beltran,Mets,706,7.3,589
1969,Frank Robinson,Orioles,643,7.3,1011066
1967,Hank Aaron,Braves,669,7.3,1000001
1991,Frank Thomas,White Sox,701,7.3,255
1998,Nomar Garciaparra,Red Sox,652,7.3,190
1942,Charlie Keller,Yankees,661,7.3,1006768
2015,Paul Goldschmidt,Diamondbacks,695,7.2,9218
1964,Ron Hansen,White Sox,665,7.2,1005329
1943,Bill Nicholson,Cubs,684,7.2,1009554
2011,Ian Kinsler,Rangers,723,7.2,6195
2013,Josh Donaldson,Athletics,668,7.2,5038
2012,Miguel Cabrera,Tigers,697,7.2,1744
1982,Mike Schmidt,Phillies,631,7.2,1011586
1986,Don Mattingly,Yankees,742,7.2,1008261
1929,Tony Lazzeri,Yankees,635,7.2,1007422
1996,Ellis Burks,Rockies,685,7.2,372
2012,Chase Headley,Padres,699,7.2,4720
1892,Cupid Childs,Spiders,684,7.2,1002186
1963,Dick Groat,Cardinals,704,7.2,1005075
2001,Albert Pujols,Cardinals,676,7.2,1177
1940,Johnny Mize,Cardinals,666,7.2,1009014
1891,Billy Hamilton,Phillies,636,7.2,1005270
1886,Cap Anson,White Stockings,559,7.2,1000272
1995,Albert Belle,Indians,631,7.2,1000802
2013,Matt Carpenter,Cardinals,717,7.2,8090
1992,Darren Daulton,Phillies,585,7.2,1003010
1978,Amos Otis,Royals,567,7.2,1009893
1997,Frank Thomas,White Sox,649,7.2,255
1913,Ty Cobb,Tigers,501,7.2,1002378
1985,Tim Raines,Expos,665,7.2,1406
1946,Hank Greenberg,Tigers,604,7.2,1004996
2006,Chase Utley,Phillies,739,7.2,1679
1983,Dickie Thon,Astros,686,7.2,1013033
1921,Frankie Frisch,Giants,687,7.2,1004364
1932,Bill Terry,Giants,677,7.2,1012927
1960,Roger Maris,Yankees,578,7.2,1008110
2005,Chase Utley,Phillies,628,7.2,1679
1933,Lou Gehrig,Yankees,687,7.2,1004598
1948,Ken Keltner,Indians,656,7.2,1006821
1887,John Ward,Giants,578,7.1,1013615
1966,Roberto Clemente,Pirates,690,7.1,1002340
2002,Vladimir Guerrero,Expos,709,7.1,778
1951,Ted Williams,Red Sox,675,7.1,1014040
1887,Pete Browning,Colonels,610,7.1,1001554
1984,Mike Schmidt,Phillies,632,7.1,1011586
1977,George Brett,Royals,627,7.1,1001400
2009,Evan Longoria,Rays,671,7.1,9368
1968,Hank Aaron,Braves,676,7.1,1000001
1985,Willie McGee,Cardinals,652,7.1,1008513
1969,Harmon Killebrew,Twins,709,7.1,1006905
1984,Gary Carter,Expos,669,7.1,1002015
2001,Rich Aurilia,Giants,689,7.1,1106
1901,Elmer Flick,Phillies,612,7.1,1004158
1948,Joe Gordon,Indians,633,7.1,1004874
1963,Johnny Callison,Phillies,692,7.1,1001851
1988,Kirby Puckett,Twins,691,7.1,1010557
1955,Ted Williams,Red Sox,417,7.1,1014040
1998,Albert Belle,White Sox,706,7.1,1000802
1901,Bobby Wallace,Cardinals,583,7.1,1013542
1973,Reggie Jackson,Athletics,629,7.1,1006308
2008,Chipper Jones,Braves,534,7.1,97
1961,Ken Boyer,Cardinals,663,7.1,1001283
2009,Hanley Ramirez,Marlins,652,7.1,8001
2011,Ryan Braun,Brewers,629,7.1,3410
1975,Fred Lynn,Red Sox,605,7.1,1007872
1989,Barry Bonds,Pirates,679,7.1,1109
1964,Frank Robinson,Reds,662,7.1,1011066
1894,Joe Kelley,Orioles,619,7.1,1006776
1928,Paul Waner,Pirates,697,7.1,1013597
1951,Roy Campanella,Dodgers,562,7.1,1001871
1936,Luke Appling,White Sox,618,7.1,1000284
1973,Cesar Cedeno,Astros,576,7.1,1002100
1998,Chipper Jones,Braves,707,7.1,97
1998,Sammy Sosa,Cubs,722,7.1,302
1901,Ed Delahanty,Phillies,621,7.1,1003155
1971,Hank Aaron,Braves,573,7.1,1000001
2001,Todd Helton,Rockies,697,7.1,432
1965,Billy Williams,Cubs,719,7.1,1013975
2004,Ichiro Suzuki,Mariners,762,7.1,1101
