Season,Name,PA,WAR
1930,Freddie Lindstrom,671,6.9
1966,Joe Torre,614,6.9
1936,Earl Averill,682,6.9
1956,Hank Aaron,660,6.9
2007,Matt Holliday,713,6.9
1984,Alan Trammell,626,6.9
2017,Mike Trout,507,6.9
1917,Heinie Groh,685,6.9
1930,Mel Ott,646,6.9
1975,Bobby Grich,655,6.9
1905,George Davis,654,6.9
1895,Billy Hamilton,629,6.9
1888,Harry Stovey,595,6.9
1932,Chuck Klein,711,6.9
1983,Gary Carter,609,6.8
1949,Pee Wee Reese,743,6.8
2001,Lance Berkman,688,6.8
1996,Barry Larkin,627,6.8
1927,Earle Combs,724,6.8
1950,Jackie Robinson,613,6.8
2010,Albert Pujols,700,6.8
2014,Giancarlo Stanton,638,6.8
1974,Bobby Grich,707,6.8
1994,Ken Griffey Jr.,493,6.8
1921,Harry Heilmann,672,6.8
2011,Curtis Granderson,691,6.8
1970,Willie McCovey,638,6.8
1928,Freddie Lindstrom,687,6.8
2012,Ryan Braun,677,6.8
1970,Jim Fregosi,679,6.8
1888,John Reilly,562,6.8
1947,Johnny Mize,664,6.8
1974,Darrell Evans,710,6.8
1967,Orlando Cepeda,644,6.8
1911,Eddie Collins,588,6.8
1943,Joe Gordon,650,6.8
2005,Brian Roberts,640,6.8
1993,Lenny Dykstra,773,6.8
1978,Dave Parker,642,6.8
1999,Ivan Rodriguez,630,6.8
1925,Al Simmons,696,6.8
1984,Eddie Murray,705,6.8
1998,Moises Alou,679,6.8
1901,Jimmy Collins,615,6.8
1958,Hank Aaron,664,6.8
2015,A.J. Pollock,673,6.8
1975,Johnny Bench,606,6.8
1970,Tommy Harper,692,6.8
1942,Enos Slaughter,687,6.8
1936,Billy Herman,709,6.8
1983,Eddie Murray,680,6.8
1950,Larry Doby,609,6.8
1961,Vada Pinson,659,6.8
1901,Jimmy Sheckard,609,6.8
1920,Ross Youngs,671,6.8
2003,Javy Lopez,495,6.8
2016,Jose Altuve,717,6.8
1964,Hank Aaron,634,6.8
1937,Bill Dickey,608,6.7
1906,Elmer Flick,700,6.7
1989,Ozzie Smith,664,6.7
1970,Rico Carty,560,6.7
1954,Mickey Mantle,651,6.7
1934,Earl Averill,702,6.7
2003,Marcus Giles,635,6.7
1917,George Burns,678,6.7
2017,Anthony Rendon,605,6.7
1933,Babe Ruth,575,6.7
1998,Jeff Bagwell,661,6.7
2013,Carlos Gomez,590,6.7
1937,Mel Ott,654,6.7
1967,Paul Blair,619,6.7
1922,Tris Speaker,516,6.7
2002,Jim Edmonds,576,6.7
1998,Vladimir Guerrero,677,6.7
1890,Jack Glasscock,562,6.7
2017,Kris Bryant,665,6.7
1987,Tim Raines,627,6.7
1968,Willie Mays,573,6.7
1985,Gary Carter,633,6.7
1926,Goose Goslin,656,6.7
1940,Ted Williams,661,6.7
1902,Bill Bradley,597,6.7
1984,Tim Raines,718,6.7
1898,Jimmy Collins,657,6.7
1981,Rickey Henderson,493,6.7
1969,Jimmy Wynn,653,6.7
1981,Andre Dawson,441,6.7
2001,Shawn Green,701,6.7
1938,Joe Cronin,637,6.7
1979,Buddy Bell,720,6.7
2002,Jeff Kent,682,6.7
1936,Jimmie Foxx,693,6.7
1999,Brian Giles,627,6.7
1968,Roberto Clemente,557,6.7
1943,Rudy York,661,6.7
1964,Willie Davis,652,6.7
1993,Rick Wilkins,500,6.7
1934,Ripper Collins,662,6.7
2007,Alfonso Soriano,617,6.7
1896,Cupid Childs,615,6.7
1959,Mickey Mantle,639,6.6
1921,Ty Cobb,581,6.6
2012,David Wright,670,6.6
1904,George Davis,626,6.6
2009,Derek Jeter,716,6.6
1948,Bob Elliott,675,6.6
1994,Kenny Lofton,523,6.6
1958,Rocky Colavito,578,6.6
1938,Johnny Mize,609,6.6
1952,Mickey Mantle,626,6.6
2010,Ryan Zimmerman,603,6.6
1975,Ron Cey,662,6.6
1946,Charlie Keller,655,6.6
1917,Art Fletcher,608,6.6
1927,Hack Wilson,646,6.6
1937,Harlond Clift,679,6.6
1957,Frank Robinson,677,6.6
1988,Fred McGriff,623,6.6
2009,Ryan Zimmerman,694,6.6
1876,Ross Barnes,342,6.6
2001,Roberto Alomar,677,6.6
1950,Stan Musial,645,6.6
1995,Reggie Sanders,567,6.6
2004,Alex Rodriguez,698,6.6
1937,Dick Bartell,580,6.6
1996,Mike Piazza,631,6.6
1884,Dave Orr,464,6.6
1981,Dwight Evans,504,6.6
1904,Elmer Flick,659,6.6
1972,Carlton Fisk,514,6.6
1932,Babe Herman,642,6.6
1978,Doug DeCinces,561,6.6
2015,Manny Machado,713,6.6
2003,Todd Helton,703,6.6
1999,Luis Gonzalez,693,6.6
1974,Rod Carew,690,6.6
2002,Jason Giambi,689,6.6
1998,Mike Piazza,626,6.6
1932,Lefty O'Doul,657,6.6
1924,Jack Fournier,669,6.6
1980,Ben Oglivie,660,6.6
1980,Cecil Cooper,678,6.6
1939,Joe Gordon,648,6.6
2011,Alex Gordon,690,6.6
1929,Hack Wilson,670,6.6
1919,Bobby Veach,598,6.6
1993,Jay Bell,701,6.6
2017,Jose Ramirez,645,6.6
1908,Mike Donlin,654,6.6
1998,Ken Griffey Jr.,720,6.6
1973,Thurman Munson,576,6.6
2000,Gary Sheffield,612,6.6
1889,Jack Glasscock,618,6.5
1942,Joe DiMaggio,680,6.5
1914,Dutch Zwilling,649,6.5
1945,Eddie Lake,586,6.5
1971,Roberto Clemente,553,6.5
1971,Bobby Murcer,624,6.5
1940,Lou Boudreau,706,6.5
1984,Buddy Bell,630,6.5
1897,Fred Clarke,590,6.5
1888,Cap Anson,563,6.5
2014,Michael Brantley,676,6.5
1933,Arky Vaughan,655,6.5
2002,Scott Rolen,667,6.5
1963,Vada Pinson,695,6.5
1886,Jack Glasscock,524,6.5
2018,Matt Chapman,616,6.5
1998,Craig Biggio,738,6.5
1925,Goose Goslin,670,6.5
2017,Charlie Blackmon,725,6.5
1911,Frank Baker,659,6.5
1992,Andy Van Slyke,686,6.5
1916,Joe Jackson,659,6.5
1918,Ty Cobb,473,6.5
1952,Al Rosen,649,6.5
2011,Miguel Cabrera,688,6.5
1945,Stan Hack,702,6.5
1996,Gary Sheffield,677,6.5
2009,Chone Figgins,729,6.5
1992,Gary Sheffield,618,6.5
